"# @inbook{heinrich1995x, author={Heinrich, Kurt F J}, chapter={{An Evaluation of Electron Probe Methods}}, title={{X-Ray Spectrometry in Electron Beam Instruments}}, editor={Goldstein, Joseph and Newbury, Dale E and Williams, David B}, year={1995}, publisher={Plenum Press} }",,,,,,,,,
"# Scanned from Heinrich's original manuscript by John Fournelle and digitized by Aurelien Moy - May 2020",,,,,,,,,
"# Item 909 is missing from both the author's manuscript and the published document",,,,,,,,,
"# The sources of data used in the compilation are as follows:",,,,,,,,,
"# 1. Bastin’s measurements of borides: G. F. Bastin and H. J. M. Heijligers, Report ISBN 90-68 19-006—7 CIP, University for Physical Chemistry, Eindhoven, Netherlands.",,,,,,,,,
"# 2. Goldstein et al. measurements: J. I. Goldstein, F. J. Majeske, and H. Yakowitz, Adv. X-Ray Anal. 10, 431 (1967).",,,,,,,,,
"# 3. J. Colby and D. K. Conley’s measurements: J. Colby and D. K. Conley, in: X-Ray Optics and Microanalysis, (Castaing et al., eds.), Hermann, Paris, p. 263 (1966).",,,,,,,,,
"# 4. NBS 1 measurements: K. F. J. Heinrich et al., NBS Special Publication 260—28 (1971).",,,,,,,,,
"# 5. Pouchou’s compilation: J.-L. Pouchou, in: Electron Probe Quantitation (K. F. J. Heinrich and D. E. Newbury, eds.) Plenum, New York, p. 64 (1991).",,,,,,,,,
"# 6. Sewell et al. compilation: D. A. Sewell, G. Love and V. D. Scott, J. Phys. D: Appl. Phys. 18, 1245 (1985).",,,,,,,,,
"# 7. Bastin Data Basis: personal communication (1990).",,,,,,,,,
"# 8. NBS 2 measurements: R. Marinenko (NBS) and Hiroyoshi Konuma (Jap. Nat. Res. Inst. of Police Science, Tokyo), 1986 (unpublished).",,,,,,,,,
"# 9. P. F. Hlava’s (Sandia) measurements: personal communication. See also: A. D. Romig Jr. et al., in: Microbeam Analysis—1987 (R. H. Geiss, ed.) San Francisco Press, San Francisco, p. 15 (1987)",,,,,,,,,
"# 10. Schreiber’s measurements: T. P. Schreiber and R. A. Waldo, in: Proceedings of ICXOM11, (J.D. Brown and R. H. Packwood, eds.), U. London, Ontario, Canada, p.265 (1986).",,,,,,,,,
"# 11. Bastin compilation 2: personal communication (1990)",,,,,,,,,
"# Line: Ka=1, Kb=2, La1=3, Lb1=4, Ma1=8, Mb1=9",,,,,,,,,
"# Items 857 to 860 appear to be in error by a factor of 0.1 in Heinrich's document. Otherwise the data seems reliable.",,,,,,,,,
Item,Line,Z1,Z2,C1,E0,Ec,TOA,Kexp,Origin
120,1,5,28,0.0882,10000,188,40,0.021,1
121,1,5,28,0.0882,15000,188,40,0.016,1
122,1,5,28,0.144,4000,188,40,0.0729,1
123,1,5,28,0.144,6000,188,40,0.0443,1
124,1,5,28,0.144,8000,188,40,0.0282,1
125,1,5,28,0.144,10000,188,40,0.0237,1
126,1,5,28,0.144,12000,188,40,0.0198,1
127,1,5,28,0.144,15000,188,40,0.0176,1
128,1,5,40,0.1789,4000,188,40,0.2597,1
129,1,5,40,0.1789,6000,188,40,0.2513,1
130,1,5,40,0.1789,8000,188,40,0.2452,1
131,1,5,40,0.1789,10000,188,40,0.2382,1
132,1,5,40,0.1789,12000,188,40,0.2382,1
133,1,5,40,0.1789,15000,188,40,0.2369,1
134,1,5,40,0.1789,20000,188,40,0.2536,1
135,1,5,40,0.1789,25000,188,40,0.2691,1
136,1,5,40,0.1789,30000,188,40,0.2819,1
137,1,5,41,0.1042,4000,188,40,0.1558,1
138,1,5,41,0.1042,6000,188,40,0.1454,1
139,1,5,41,0.1042,8000,188,40,0.1407,1
140,1,5,41,0.1042,10000,188,40,0.138,1
141,1,5,41,0.1042,12000,188,40,0.1384,1
142,1,5,41,0.1042,15000,188,40,0.1423,1
143,1,5,41,0.1715,4000,188,40,0.2543,1
144,1,5,41,0.1715,6000,188,40,0.2325,1
145,1,5,41,0.1715,8000,188,40,0.2296,1
146,1,5,41,0.1715,10000,188,40,0.2226,1
147,1,5,41,0.1715,12000,188,40,0.2245,1
148,1,5,41,0.1715,15000,188,40,0.2298,1
149,1,5,42,0.1013,4000,188,40,0.1597,1
150,1,5,42,0.1013,6000,188,40,0.1489,1
151,1,5,42,0.1013,8000,188,40,0.1416,1
152,1,5,42,0.1013,10000,188,40,0.1396,1
153,1,5,42,0.1013,12000,188,40,0.1362,1
154,1,5,42,0.1013,15000,188,40,0.1395,1
155,1,5,57,0.3183,4000,188,40,0.4822,1
156,1,5,57,0.3183,6000,188,40,0.4626,1
157,1,5,57,0.3183,8000,188,40,0.4673,1
158,1,5,57,0.3183,10000,188,40,0.4807,1
159,1,5,57,0.3183,12000,188,40,0.5043,1
160,1,5,57,0.3183,15000,188,40,0.5391,1
161,1,5,57,0.3183,20000,188,40,0.6259,1
162,1,5,57,0.3183,25000,188,40,0.6892,1
163,1,5,57,0.3183,30000,188,40,0.7555,1
164,1,5,60,0.31,5000,188,40,0.27,5
165,1,5,60,0.31,10000,188,40,0.166,5
166,1,5,60,0.31,15000,188,40,0.137,5
167,1,5,73,0.0564,4000,188,40,0.0529,1
168,1,5,73,0.0564,6000,188,40,0.0355,1
169,1,5,73,0.0564,8000,188,40,0.0274,1
170,1,5,73,0.0564,10000,188,40,0.0223,1
171,1,5,73,0.0564,12000,188,40,0.0195,1
172,1,5,73,0.0564,15000,188,40,0.0194,1
173,1,5,73,0.0923,4000,188,40,0.0928,1
174,1,5,73,0.0923,6000,188,40,0.0609,1
175,1,5,73,0.0923,8000,188,40,0.0459,1
176,1,5,73,0.0923,10000,188,40,0.0369,1
177,1,5,73,0.0923,12000,188,40,0.0324,1
178,1,5,73,0.0923,15000,188,40,0.0312,1
179,1,5,74,0.0555,4000,188,40,0.0546,1
180,1,5,74,0.0555,6000,188,40,0.0381,1
181,1,5,74,0.0555,8000,188,40,0.0295,1
182,1,5,74,0.0555,10000,188,40,0.0238,1
183,1,5,74,0.0555,12000,188,40,0.021,1
184,1,5,74,0.0555,15000,188,40,0.0188,1
185,1,5,92,0.1537,4000,188,40,0.2274,1
186,1,5,92,0.1537,6000,188,40,0.198,1
187,1,5,92,0.1537,8000,188,40,0.1761,1
188,1,5,92,0.1537,10000,188,40,0.1634,1
189,1,5,92,0.1537,12000,188,40,0.1566,1
190,1,5,92,0.1537,15000,188,40,0.1526,1
191,1,12,8,0.603,10000,1305,20,0.499,7
192,1,12,8,0.603,25000,1305,20,0.285,7
193,1,12,8,0.6031,5000,1305,40,0.566,6
194,1,12,8,0.6031,10000,1305,40,0.527,6
195,1,12,8,0.6031,15000,1305,40,0.467,6
196,1,12,8,0.6031,20000,1305,40,0.405,6
197,1,12,8,0.6031,25000,1305,40,0.347,6
198,1,12,9,0.3901,5000,1305,40,0.37,6
199,1,12,9,0.3901,10000,1305,40,0.32,6
200,1,12,9,0.3901,15000,1305,40,0.257,6
201,1,12,9,0.3901,20000,1305,40,0.201,6
202,1,12,9,0.3901,25000,1305,40,0.159,6
203,1,12,13,0.096,15000,1305,52.5,0.101,2
204,1,12,13,0.096,20000,1305,52.5,0.0948,2
205,1,12,13,0.365,10000,1305,52.5,0.373,2
206,1,12,13,0.365,15000,1305,52.5,0.365,2
207,1,12,13,0.365,20000,1305,52.5,0.369,2
208,1,12,13,0.481,10000,1305,52.5,0.476,2
209,1,12,13,0.481,15000,1305,52.5,0.471,2
210,1,12,13,0.481,20000,1305,52.5,0.478,2
211,1,12,13,0.5,10000,1305,52.5,0.506,2
212,1,12,13,0.5,15000,1305,52.5,0.495,2
213,1,12,13,0.5,20000,1305,52.5,0.499,2
214,1,12,13,0.749,10000,1305,52.5,0.744,2
215,1,12,13,0.749,15000,1305,52.5,0.71,2
216,1,12,13,0.749,20000,1305,52.5,0.736,2
217,1,12,39,0.406,16500,1305,17.5,0.274,7
218,1,13,5,0.1722,4000,1559,40,0.15,1
219,1,13,5,0.1722,6000,1559,40,0.1502,1
220,1,13,5,0.1722,8000,1559,40,0.1503,1
221,1,13,5,0.1722,10000,1559,40,0.1503,1
222,1,13,5,0.1722,12000,1559,40,0.1503,1
223,1,13,5,0.1722,15000,1559,40,0.1504,1
224,1,13,5,0.1722,20000,1559,40,0.1495,1
225,1,13,5,0.1722,25000,1559,40,0.149,1
226,1,13,5,0.1722,30000,1559,40,0.1455,1
227,1,13,5,0.5551,4000,1559,40,0.515,1
228,1,13,5,0.5551,6000,1559,40,0.5178,1
229,1,13,5,0.5551,8000,1559,40,0.5188,1
230,1,13,5,0.5551,10000,1559,40,0.52,1
231,1,13,5,0.5551,12000,1559,40,0.5198,1
232,1,13,5,0.5551,15000,1559,40,0.517,1
233,1,13,5,0.5551,20000,1559,40,0.513,1
234,1,13,5,0.5551,25000,1559,40,0.508,1
235,1,13,5,0.5551,30000,1559,40,0.503,1
236,1,13,8,0.529,10000,1559,20,0.46,7
237,1,13,8,0.529,25000,1559,20,0.325,7
238,1,13,8,0.5292,10000,1559,40,0.488,6
239,1,13,8,0.5292,15000,1559,40,0.445,6
240,1,13,8,0.5292,20000,1559,40,0.407,6
241,1,13,8,0.5292,25000,1559,40,0.377,6
242,1,13,12,0.091,10000,1559,20,0.039,7
243,1,13,12,0.091,15000,1559,20,0.023,7
244,1,13,12,0.091,25000,1559,20,0.012,7
245,1,13,12,0.091,30000,1559,20,0.009,7
246,1,13,12,0.091,35000,1559,20,0.008,7
247,1,13,12,0.624,10000,1559,20,0.46,7
248,1,13,12,0.624,15000,1559,20,0.35,7
249,1,13,12,0.624,29000,1559,29,0.212,7
250,1,13,12,0.091,10000,1559,52.5,0.0602,7
251,1,13,12,0.091,15000,1559,52.5,0.0424,7
252,1,13,12,0.091,20000,1559,52.5,0.0302,7
253,1,13,12,0.091,25000,1559,52.5,0.0221,7
254,1,13,12,0.091,30000,1559,52.5,0.017,7
255,1,13,12,0.153,10000,1559,52.5,0.111,2
256,1,13,12,0.153,15000,1559,52.5,0.0768,2
257,1,13,12,0.153,20000,1559,52.5,0.058,2
258,1,13,12,0.251,10000,1559,52.5,0.184,2
259,1,13,12,0.251,15000,1559,52.5,0.14,2
260,1,13,12,0.251,20000,1559,52.5,0.101,2
261,1,13,12,0.5,10000,1559,52.5,0.387,2
262,1,13,12,0.5,15000,1559,52.5,0.311,2
263,1,13,12,0.5,20000,1559,52.5,0.245,2
264,1,13,12,0.519,10000,1559,52.5,0.42,2
265,1,13,12,0.519,15000,1559,52.5,0.344,2
266,1,13,12,0.519,20000,1559,52.5,0.274,2
267,1,13,12,0.635,10000,1559,52.5,0.525,2
268,1,13,12,0.635,15000,1559,52.5,0.456,2
269,1,13,12,0.635,20000,1559,52.5,0.385,2
270,1,13,12,0.904,15000,1559,52.5,0.822,2
271,1,13,12,0.904,20000,1559,52.5,0.771,2
272,1,13,12,0.979,10000,1559,52.5,0.963,2
273,1,13,12,0.979,15000,1559,52.5,0.958,2
274,1,13,12,0.979,20000,1559,52.5,0.959,2
275,1,13,12,0.091,10000,1559,75,0.066,7
276,1,13,12,0.091,15000,1559,75,0.0473,7
277,1,13,12,0.091,20000,1559,75,0.0351,7
278,1,13,12,0.091,25000,1559,75,0.0258,7
279,1,13,12,0.091,30000,1559,75,0.019,7
